126.51082	33.25437	0.2199
126.51082	33.25437	0.4729
126.51082	33.25437	0.4404
126.53665	33.49860	0.4457
126.50122	33.48929	0.1736
126.50122	33.48929	0.4647
126.81312	33.55710	0.1642
126.81312	33.55710	0.1429
126.81312	33.55710	0.0531
126.81312	33.55710	0.0098
126.51732	33.49801	0.5927
126.51732	33.49801	0.6085
126.51732	33.49801	0.3783
126.51732	33.49801	0.5550
126.51732	33.49801	0.6074
126.27043	33.40269	0.0559
126.27043	33.40269	0.0803
126.58817	33.52391	0.3019
126.58817	33.52391	0.2075
126.56008	33.44552	0.1202
126.56008	33.44552	0.0772
126.26844	33.40920	0.1715
126.26844	33.40920	0.1247
126.18293	33.34290	0.0660
126.70441	33.27818	0.0934
126.70441	33.27818	0.1486
126.87095	33.40129	0.0562
126.87095	33.40129	0.1788
126.56401	33.25623	0.2574
126.88315	33.44609	0.0541
126.88315	33.44609	0.0555
126.88315	33.44609	0.2159
126.57316	33.24500	0.1827
126.57316	33.24500	0.0717
126.46889	33.49565	0.4097
126.46889	33.49565	0.3556
126.49759	33.50530	0.2515
126.49759	33.50530	0.3049
126.52339	33.50413	0.3828
126.54897	33.51425	0.0272
126.54897	33.51425	0.0405
126.54897	33.51425	0.0419
126.26870	33.33935	0.2019
126.26870	33.33935	0.2525
126.46819	33.50311	0.3709
126.75043	33.55028	0.0279
126.75043	33.55028	0.2553
126.65683	33.45664	0.1212
126.40624	33.47385	0.3081
126.40624	33.47385	0.3933
126.77915	33.47163	0.1439
126.34888	33.46683	0.1939
126.34888	33.46683	0.1837
126.27232	33.31373	0.1551
126.27232	33.31373	0.0182
126.27232	33.31373	0.0314
126.40797	33.42383	0.4768
126.40797	33.42383	0.0761
126.75133	33.55466	0.3161
126.75133	33.55466	0.3437
126.64686	33.54134	0.2672
126.55028	33.42222	0.3266
126.49460	33.39244	0.1645
126.16415	33.30839	0.0
126.16415	33.30839	0.0
126.74477	33.37666	0.0806
126.50178	33.25987	0.1313
126.50178	33.25987	0.0817
126.50178	33.25987	0.1820
126.71137	33.29443	0.3671
126.71137	33.29443	0.1771
126.47756	33.25106	0.0578
126.91003	33.46044	0.2864
126.51381	33.25127	0.1966
126.51381	33.25127	0.2075
126.91896	33.45205	0.1771
126.91896	33.45205	0.1858
126.35329	33.25784	0.1673
126.35329	33.25784	0.1987
126.32836	33.25608	0.2462
126.32836	33.25608	0.3437
126.48008	33.34058	0.1337
126.27268	33.28221	0.1390
126.27268	33.28221	0.2669
126.39796	33.25452	0.1607
126.31110	33.23398	0.2085
126.31110	33.23398	0.1628
126.31110	33.23398	0.1463
126.42189	33.24467	0.2127
126.42189	33.24467	0.2106
126.33709	33.24978	0.4614
126.33353	33.24603	0.1072
126.24869	33.35376	0.0912
126.24869	33.35376	0.2833
126.49626	33.48129	0.0
126.49626	33.48129	0.0
126.49338	33.50476	0.2400
126.49338	33.50476	0.3605
126.49338	33.50476	0.3171
126.49338	33.50476	0.3619
126.49338	33.50476	0.3804
126.49338	33.50476	0.3503
126.49338	33.50476	0.2546
126.49338	33.50476	0.2913
126.49338	33.50476	0.3549
126.49338	33.50476	0.4824
126.49338	33.50476	0.2546
126.49338	33.50476	0.4153
126.49338	33.50476	0.3343
126.49338	33.50476	0.2321
126.49338	33.50476	0.5197
126.55262	33.51428	0.2620
126.55262	33.51428	0.1345
126.49794	33.49056	0.4656
126.49794	33.49056	0.4988
126.56229	33.25276	0.0925
126.56229	33.25276	0.1104
126.82287	33.35714	0.0754
126.56073	33.50904	0.0495
126.58250	33.51991	0.3150
126.54541	33.49304	0.4764
126.58947	33.27072	0.2155
126.58947	33.27072	0.2089
126.39441	33.41289	0.3409
126.39441	33.41289	0.1746
126.58725	33.52258	0.4890
126.56564	33.44113	0.0248
126.52876	33.42559	0.2798
126.85443	33.37222	0.0660
126.85443	33.37222	0.3018
126.29036	33.20759	0.3566
126.34460	33.31436	0.2414
126.34460	33.31436	0.1736
126.45527	33.46510	0.3144
126.45527	33.46510	0.2847
126.42901	33.49377	0.1813
126.25499	33.32534	0.2752
126.25499	33.32534	0.1359
126.34536	33.31890	0.0206
126.34536	33.31890	0.1638
126.34644	33.25489	0.0978
126.34644	33.25489	0.0891
126.34644	33.25489	0.0569
126.56405	33.45701	0.5236
126.56405	33.45701	0.2008
126.54027	33.51995	0.2693
126.54027	33.51995	0.2414
126.25586	33.33263	0.0517
126.25586	33.33263	0.1299
126.52887	33.50430	0.0891
126.52887	33.50430	0.2473
126.46478	33.47505	0.0482
126.46478	33.47505	0.0206
126.19025	33.34665	0.2503
126.38729	33.30513	0.1233
126.38729	33.30513	0.2103
126.59288	33.26944	0.3245
126.59288	33.26944	0.0604
126.58861	33.28952	0.2089
126.58861	33.28952	0.3566
126.57303	33.26716	0.1722
